ZYMC,SZD,SFSYL,SF985,SF211,JHRS_3,JHRS_2,JHRS_1,SJRS_3,SJRS_2,SJRS_1,XX_Med_3,XX_Med_2,XX_Med_1,ZY_Max_3,ZY_Max_2,ZY_Max_1,ZY_Min_3,ZY_Min_2,ZY_Min_1,CS,NX,YJ
中西医临床医学,黑龙江,0,0,0,6,6,12,6,6,12,26519,22007,21624,20932,16053,16023,26519,20803,22015,0.638888888888889,0.472222222222222,0.805555555555555
材料科学与工程,上海,0,0,0,2,2,1,2,2,2,13676,15708,17223,14783,16739,19177,15305,16739,19847,0.5,0.5,0.833333333333333
自动化,上海,0,0,0,2,2,2,2,2,2,13676,15708,17223,10983,12594,16023,11449,12911,16639,0.666666666666667,0.5,0.833333333333333
测控技术与仪器,上海,0,0,0,2,2,1,2,2,1,13676,15708,17223,13676,15708,18869,15054,16396,18869,0.333333333333333,0.5,1
信息安全,上海,0,0,0,1,1,1,1,1,1,13676,15708,17223,13676,16739,18869,13676,16739,18869,1,1,0.666666666666667
计算机类,吉林,1,1,1,6,7,6.5,6,7,6.5,4490,4874,4682,3288,5509,4398.5,4116,7359,5737.5,0.785714285714285,1,0.916666666666667
交通运输类,吉林,1,1,1,7,6,6.5,7,6,6.5,4490,4874,4682,4357,2835,3596,5995,3902,4948.5,0.619047619047619,0.845238095238095,0.845238095238095
考古学,吉林,1,1,1,2,2,4,2,2,6,4490,4874,5037,3183,4089,4601,5116,5700,6661,0.833333333333333,0.277777777777778,0.777777777777778
应用化学,黑龙江,0,0,0,2,2,5,2,2,5,34702.5,27945,28030,35359,27945,23107,38627,29327,29233,0.533333333333333,0.366666666666667,0.866666666666667
材料化学,黑龙江,0,0,0,2,2,2,2,2,2,34702.5,27945,28030,36815,29327,29634,40584,29327,29634,0.5,0.5,0.666666666666667
自动化,黑龙江,0,0,0,2,2,2,2,2,2,34702.5,27945,28030,29337,28863,26499,39601,28863,27267,0.5,0.666666666666667,1
制药工程,黑龙江,0,0,0,2,2,2,2,2,2,34702.5,27945,28030,32358,23612,28030,32777,27067,28030,0.166666666666667,0.333333333333333,1
食品科学与工程,黑龙江,0,0,0,2,2,2,2,2,2,34702.5,27945,28030,34046,25708,29233,35359,37035,29233,0.666666666666667,0.333333333333333,0.666666666666667
生物工程,黑龙江,0,0,0,2,2,2,2,2,2,34702.5,27945,28030,35359,27945,26903,35851,28400,29634,0.666666666666667,0.333333333333333,0.833333333333333
针灸推拿学,黑龙江,0,0,0,7,7,7,7,7,7,26519,22007,21624,20613,23187,17223,27327,25285,23473,0.714285714285714,0.190476190476191,0.857142857142857
中药学,黑龙江,0,0,0,5,5,5,5,5,5,26519,22007,24263,23105,19275,21190,28110,22780,25445,0.7,0.1,0.8
药物制剂,黑龙江,0,0,0,3,3,3,3,3,3,26519,22007,24263,29730,22405,26067.5,32777,28400,30588.5,0.5,0.5,1
制药工程,黑龙江,0,0,0,2,2,2,2,2,2,26519,22007,24263,28911,25285,27098,29337,29327,29332,0.5,0,0.5
生物技术,黑龙江,0,0,0,4,4,4,4,4,4,26519,22007,24263,29337,21201,25269,41066,27501,34283.5,0.5,0.625,0.625
药学,黑龙江,0,0,0,5,5,5,5,5,5,26519,22007,24263,26910,19275,23092.5,29337,28400,28868.5,0.1,0.4,0.6
食品科学与工程,黑龙江,0,0,0,2,2,2,2,2,2,26519,22007,24263,32358,28863,30610.5,41066,37035,39050.5,0.75,0,0.75
通信工程,上海,0,0,0,2,2,1,2,2,1,13676,15708,17223,13967,14438,17223,14271,16053,17223,0.5,1,1
电子信息工程,上海,0,0,0,1,1,2,1,1,2,13676,15708,17223,13967,14760,17223,13967,14760,17874,1,0.666666666666667,1
工程管理,上海,0,0,0,1,1,1,1,1,1,13676,15708,17223,15557,16739,19177,15557,16739,19177,1,0.666666666666667,1
应用物理学,上海,0,0,0,1,1,1,1,1,1,13676,15708,17223,15305,16396,19847,15305,16396,19847,0.333333333333333,0.666666666666667,0.666666666666667
数学类,吉林,1,1,1,4,4.5,5,4,4.5,5,4490,4763.5,5037,3016,4377,5738,3402,4751,6100,0.9,0.675,0.9
生物技术,黑龙江,0,0,0,2,2,2,2,2,2,34702.5,27945,28030,29337,18895,15423,36341,30252,33479,0,0.5,1
电子信息类,黑龙江,0,0,0,7,8,7.5,7,8,7.5,34702.5,27945,31323.75,26519,23187,24853,40100,27945,34022.5,0.669642857142857,0.598214285714285,0.875
